Country;Semester;Electricity Price;time_frequency;energy_product;energy_consumption;unit_of_measure;tax_type;currency;consumption_description;consumption_band
Estonia;2024-S1;0.3101;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Ireland;2024-S1;0.1734;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Greece;2024-S1;0.4766;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Spain;2024-S1;0.515;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
France;2024-S1;0.501;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Croatia;2024-S1;0.2349;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Italy;2024-S1;0.6048;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Cyprus;2024-S1;0.6234;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Latvia;2024-S1;0.3753;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Lithuania;2024-S1;0.2569;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Luxembourg;2024-S1;0.3896;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Hungary;2024-S1;38.6887;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Malta;2024-S1;0.3495;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Netherlands;2024-S1;-0.0461;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Austria;2024-S1;0.3998;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Poland;2024-S1;0.9659;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Portugal;2024-S1;0.3931;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Romania;2024-S1;0.8113;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Slovenia;2024-S1;0.3701;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Slovakia;2024-S1;0.2645;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Finland;2024-S1;0.3247;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Sweden;2024-S1;5.0932;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Iceland;2024-S1;59.3055;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Liechtenstein;2024-S1;0.4606;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Norway;2024-S1;5.8589;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Bosnia and Herzegovina;2024-S1;0.5653;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Montenegro;2024-S1;0.1583;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Moldova;2024-S1;2.43;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
North Macedonia;2024-S1;12.6761;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Georgia;2024-S1;0.1538;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Albania;2024-S1;11.4;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Serbia;2024-S1;38.3833;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Türkiye;2024-S1;1.5482;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Kosovo*;2024-S1;0.124;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Belgium;2024-S2;0.4758;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Bulgaria;2024-S2;0.2412;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Czechia;2024-S2;14.5804;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Denmark;2024-S2;3.3991;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Germany;2024-S2;0.5887;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Estonia;2024-S2;0.3043;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Ireland;2024-S2;0.3722;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Greece;2024-S2;0.4292;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Spain;2024-S2;0.4778;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
France;2024-S2;0.5275;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Croatia;2024-S2;0.2168;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Italy;2024-S2;0.5482;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Cyprus;2024-S2;0.7839;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Latvia;2024-S2;0.358;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Lithuania;2024-S2;0.2451;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Luxembourg;2024-S2;0.377;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Hungary;2024-S2;36.5607;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Malta;2024-S2;0.3553;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Netherlands;2024-S2;-0.117;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Austria;2024-S2;0.3575;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Poland;2024-S2;1.3285;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Portugal;2024-S2;0.4686;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Romania;2024-S2;0.793;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Slovenia;2024-S2;0.3151;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Slovakia;2024-S2;0.2726;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Finland;2024-S2;0.3132;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Sweden;2024-S2;5.144;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Iceland;2024-S2;63.6;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Liechtenstein;2024-S2;0.441;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Norway;2024-S2;6.2806;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Bosnia and Herzegovina;2024-S2;0.4666;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Montenegro;2024-S2;0.1499;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Moldova;2024-S2;2.4063;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
North Macedonia;2024-S2;13.1407;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Georgia;2024-S2;0.1556;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Albania;2024-S2;11.4;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Serbia;2024-S2;35.2639;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Türkiye;2024-S2;2.0486;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Kosovo*;2024-S2;0.1118;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Belgium;2025-S1;0.5009;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Bulgaria;2025-S1;0.2597;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Czechia;2025-S1;15.0053;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Denmark;2025-S1;3.2119;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Germany;2025-S1;0.5856;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Estonia;2025-S1;0.329;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Ireland;2025-S1;0.3025;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Greece;2025-S1;0.5683;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Spain;2025-S1;0.5189;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
France;2025-S1;0.456;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Croatia;2025-S1;0.2506;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Italy;2025-S1;0.648;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Cyprus;2025-S1;0.6592;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Latvia;2025-S1;0.4361;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Lithuania;2025-S1;0.2393;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Luxembourg;2025-S1;0.455;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Hungary;2025-S1;36.6741;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Malta;2025-S1;0.3292;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Netherlands;2025-S1;0.0772;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Austria;2025-S1;0.4268;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Poland;2025-S1;1.3491;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Portugal;2025-S1;0.5013;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Romania;2025-S1;0.8202;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Slovenia;2025-S1;0.329;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Slovakia;2025-S1;0.2754;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Finland;2025-S1;0.3664;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Sweden;2025-S1;5.6785;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Iceland;2025-S1;66.53;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Liechtenstein;2025-S1;0.5035;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Norway;2025-S1;6.3619;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Bosnia and Herzegovina;2025-S1;0.5314;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Montenegro;2025-S1;0.1594;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Moldova;2025-S1;3.944;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
North Macedonia;2025-S1;15.4202;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Georgia;2025-S1;0.1728;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Albania;2025-S1;10.2;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Serbia;2025-S1;22.1674;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Türkiye;2025-S1;2.3551;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Kosovo*;2025-S1;0.1311;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Belgium;2025-S2;0.5151;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Bulgaria;2025-S2;0.2667;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Czechia;2025-S2;14.961;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Denmark;2025-S2;3.0677;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Germany;2025-S2;0.5949;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Estonia;2025-S2;0.3274;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Ireland;2025-S2;0.3889;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Greece;2025-S2;0.4707;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Spain;2025-S2;0.5494;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
France;2025-S2;0.4899;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Croatia;2025-S2;0.2569;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Italy;2025-S2;0.5619;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Cyprus;2025-S2;0.8226;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Latvia;2025-S2;0.4398;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Lithuania;2025-S2;0.2432;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Luxembourg;2025-S2;0.455;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Hungary;2025-S2;37.3244;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Malta;2025-S2;0.3136;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Netherlands;2025-S2;0.1253;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Austria;2025-S2;0.5066;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Poland;2025-S2;1.5792;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Portugal;2025-S2;0.4849;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Romania;2025-S2;1.5056;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Slovenia;2025-S2;0.3349;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Slovakia;2025-S2;0.2906;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Finland;2025-S2;0.3758;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Sweden;2025-S2;5.5728;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Liechtenstein;2025-S2;0.5052;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Norway;2025-S2;6.1444;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Bosnia and Herzegovina;2025-S2;0.4858;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
Montenegro;2025-S2;0.1503;Half-yearly, semesterly;Electricity;Consumption less than 1 000 kWh - band DA;Kilowatt-hour;All taxes and levies included;National currency;Consumption less than 1 000 kWh - band DA;DA
